layer,probe_acc,control_acc,selectivity
1,1.0,0.4762,0.5238
2,0.8429,0.4571,0.3857
3,0.8,0.481,0.319
4,0.9,0.4524,0.4476
5,0.8571,0.4286,0.4286
6,0.9286,0.4667,0.4619
7,0.9286,0.4381,0.4905
8,0.9286,0.419,0.5095
9,0.9286,0.4667,0.4619
10,0.9286,0.4905,0.4381
11,0.9286,0.4857,0.4429
12,0.9286,0.5095,0.419
13,0.9286,0.5,0.4286
14,0.9286,0.5143,0.4143
15,0.9286,0.4762,0.4524
16,0.9286,0.5,0.4286
17,0.9286,0.4571,0.4714
18,0.9286,0.4762,0.4524
19,0.9286,0.4762,0.4524
20,0.9286,0.4952,0.4333
21,0.9286,0.5048,0.4238
22,0.9286,0.4857,0.4429
23,0.9286,0.481,0.4476
24,0.9143,0.4952,0.419
25,0.9143,0.5095,0.4048
26,0.9143,0.5143,0.4
27,0.9286,0.5095,0.419
28,0.8857,0.5238,0.3619
