layer,probe_acc,control_acc,selectivity
1,0.8571,0.5333,0.3238
2,0.8571,0.481,0.3762
3,0.8571,0.4762,0.381
4,0.8571,0.4762,0.381
5,0.8571,0.4952,0.3619
6,0.8571,0.5048,0.3524
7,0.8571,0.4952,0.3619
8,0.8571,0.4952,0.3619
9,0.8571,0.4619,0.3952
10,0.8571,0.4762,0.381
11,0.8571,0.4905,0.3667
12,0.8571,0.4333,0.4238
13,0.8571,0.4429,0.4143
14,0.8571,0.4667,0.3905
15,0.8571,0.4714,0.3857
16,0.8571,0.4619,0.3952
17,0.8571,0.4524,0.4048
18,0.8571,0.4571,0.4
19,0.8714,0.4571,0.4143
20,0.8857,0.4571,0.4286
21,0.9,0.4476,0.4524
22,0.8714,0.4619,0.4095
23,0.8714,0.4762,0.3952
24,0.8714,0.4667,0.4048
25,0.8571,0.4524,0.4048
26,0.8714,0.4762,0.3952
27,0.8714,0.4619,0.4095
28,0.8857,0.5,0.3857
