layer,probe_acc,control_acc,selectivity
1,0.9818,0.4667,0.5152
2,0.9273,0.5394,0.3879
3,0.9636,0.5273,0.4364
4,1.0,0.4727,0.5273
5,1.0,0.5333,0.4667
6,1.0,0.4909,0.5091
7,1.0,0.4848,0.5152
8,1.0,0.497,0.503
9,0.9818,0.4364,0.5455
10,0.9818,0.497,0.4848
11,0.9636,0.4909,0.4727
12,0.9636,0.4909,0.4727
13,0.9636,0.5091,0.4545
14,0.9636,0.4788,0.4848
15,0.9818,0.503,0.4788
16,0.9818,0.503,0.4788
17,0.9818,0.4909,0.4909
18,0.9818,0.5091,0.4727
19,0.9818,0.5273,0.4545
20,0.9818,0.4909,0.4909
21,0.9818,0.5212,0.4606
22,0.9818,0.497,0.4848
23,0.9818,0.4909,0.4909
24,0.9818,0.497,0.4848
25,0.9818,0.4667,0.5152
26,0.9818,0.4788,0.503
27,1.0,0.5091,0.4909
28,1.0,0.4848,0.5152
