layer,probe_acc,control_acc,selectivity
1,0.9091,0.5697,0.3394
2,0.9091,0.5879,0.3212
3,0.9091,0.5273,0.3818
4,0.9091,0.497,0.4121
5,0.9091,0.4606,0.4485
6,0.9455,0.4364,0.5091
7,0.9455,0.4545,0.4909
8,0.9273,0.4788,0.4485
9,0.9091,0.4788,0.4303
10,0.9091,0.5212,0.3879
11,0.9091,0.503,0.4061
12,0.9091,0.5515,0.3576
13,0.9091,0.5455,0.3636
14,0.9091,0.5273,0.3818
15,1.0,0.5091,0.4909
16,1.0,0.5273,0.4727
17,1.0,0.5455,0.4545
18,1.0,0.5636,0.4364
19,1.0,0.5455,0.4545
20,1.0,0.5273,0.4727
21,1.0,0.5091,0.4909
22,1.0,0.5152,0.4848
23,1.0,0.5091,0.4909
24,1.0,0.5273,0.4727
25,1.0,0.5333,0.4667
26,1.0,0.503,0.497
27,1.0,0.5152,0.4848
28,1.0,0.5273,0.4727
